doc_id,sentence_id,matched_form,context,start_char,end_char,cluster,umap1,umap2,dist_to_cluster_0,dist_to_cluster_1,dist_to_cluster_2,already_labeled,predicted_label,prob_market_exchange,prob_valuation
A06785.txt,54,prices,"Statesmen have observed for a general rule, that the enhancing of the coin doth generally raise the prices of commodities: shall we term this a fallacy, P. 39 because that the linens in Germany have these two or three year's last, come thence so cheap, notwithstanding they were bought with moneys given out at high rates, especially when intestine wars make things good cheap, as Monsieur Bodine hath observed in France and other places?",100,106,0,10.695929,5.83052,6.5115128,9.611114,8.384881,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,55,price,"Again, when the price of commodities is raised generally with the price of moneys enhanced; P. 25. shall we contradict the same, because one commodity, as Cloves, is not risen, but sold as a staple ware?",16,21,2,-5.8115664,3.2282183,7.929396,6.018259,4.3287244,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,55,price,"Again, when the price of commodities is raised generally with the price of moneys enhanced; P. 25. shall we contradict the same, because one commodity, as Cloves, is not risen, but sold as a staple ware?",66,71,2,-5.7778244,2.9779677,8.418587,6.3663807,4.938746,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,56,price,"Likewise when moneys are not imported, when there is a loss by the bringing of them: Moneys decayed of their price are imported again. shall we deny this principle when moneys are brought in, being decried or made bullion beyond the seas, as the jacobus and other coins have been of late in Holland and those parts, which caused some quantity (for a time) to be imported again?",109,114,1,-2.5136287,2.1273372,10.370197,7.2645617,7.6612043,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,58,price,"The general Trade, all the world over, is made by the rule and square of moneys, which is therefore called publica mensura in all countries where moneys are used to set a price unto all commodities.",171,176,1,-1.1342775,0.55521834,9.189009,6.7681637,7.1108537,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,70,price,"Otherwise, if the money rise in denomination, above the true worth in valuation, and the Exchange also rise accordingly: if this Merchant do not raise the price of his Commodity in due proportion answerable thereunto; he shall be sure to come home by weeping cross, how ever he make his return, whether by Exchange; or in Money, Bullion, or wares. etc.",155,160,1,-4.5464163,2.0622702,8.239258,5.489431,5.493113,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,74,price,"So as the words Together with the course of Exchange, were also considered of, and that the price of Exchange did rise proportionally with the rising of the moneys, whereof we do complain: Shall this Merchant come home by weeping cross that doth not the same? and shall not Exchange for moneys be the public measure? you will buy cloth of a Draper by the yard at a certain price, and yet the yard whereby it is measured must not be called the measure.",92,97,2,-4.2508283,0.14855808,8.8046465,6.0942116,5.2507644,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,74,price,"So as the words Together with the course of Exchange, were also considered of, and that the price of Exchange did rise proportionally with the rising of the moneys, whereof we do complain: Shall this Merchant come home by weeping cross that doth not the same? and shall not Exchange for moneys be the public measure? you will buy cloth of a Draper by the yard at a certain price, and yet the yard whereby it is measured must not be called the measure.",373,378,1,-0.3635497,1.9590055,9.343225,6.5776014,8.223529,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,76,price,"To make this more evident, General Rules, consider we of these general rules, even as plenty of money maketh things dear, and Scarcity of money maketh things good cheap: even so plenty or scarcity of commodities maketh the price thereof to rise and fall according to their use more or less, which rule is not without exception, howbeit, Money must not be bereft of her function, as the right judge thereof.",223,228,2,-4.521545,0.9466983,9.38542,6.5800796,6.096873,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,77,prices,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",153,159,0,10.578373,5.889921,6.3945847,9.693833,8.814656,False,valuation,0.4673745895157886,0.5326254104842114
A06785.txt,77,price,"And so it is in matters of Exchanges, whereby commodities are dearer or better cheap, according to the Positive Exchange, Positive Exchange. wherein the prices of commodities do perpetually follow the rates of Exchange: but the Exchange having also another course of rising and falling in price, according to plenty or scarcity of moneys, and the few or many Takers or deliverers of money, Currant Exchange. which may be termed The currant Exchange: hath not the like operation, to make daily (as it were) the prices of commodities to rise and fall according to the said Exchange, for as the few or many takers or deliverers of money doth proportionate this price of Exchange in all Countries, according to the true value or above the same, grounded upon the said Positive Exchange, so doth plenty or scarcity of money do the like, and the commodities so bought by moneys taken up by Exchange, are calculated by Merchants of experience in price to cost accordingly.",289,294,2,-0.030485906,-1.5423163,11.257378,9.228141,8.835286,False,valuation,0.4673745895157886,0.5326254104842114
